Model,Accuracy,Sensitivity,Specificity,Precision,F1,ROC-AUC,Training Time (s),Qubits
SVM,0.9473684210526315,0.8809523809523809,0.9861111111111112,0.9736842105263158,0.925,0.9966931216931216,0.04853034019470215,0
Random Forest,0.956140350877193,0.9047619047619048,0.9861111111111112,0.9743589743589743,0.9382716049382716,0.9955357142857143,0.8023240566253662,0
XGBoost,0.9473684210526315,0.8809523809523809,0.9861111111111112,0.9736842105263158,0.925,0.9914021164021164,2.954023838043213,0
QSVM,0.6228070175438597,0.19047619047619047,0.875,0.47058823529411764,0.2711864406779661,,134.57643938064575,4
VQC,0.5350877192982456,0.47619047619047616,0.5694444444444444,0.39215686274509803,0.43010752688172044,0.5008267195767195,212.80057907104492,4
